type,name,source_file,folder
PROCEDURE,spModulosGrupoLote,spModulosGrupoLote.sql,root
PROCEDURE,spProyectoResumen,spModulosGrupoLote.sql,root
PROCEDURE,spFactorySettings,consolidado/15-tablasMicrosipConsolidado.sql,consolidado
PROCEDURE,spCreateTempTables,consolidado/15-tablasMicrosipConsolidado.sql,consolidado
PROCEDURE,spCreateTempTablesHistorico,consolidado/15-tablasMicrosipConsolidado.sql,consolidado
FUNCTION,fnAgingDate,consolidado/20-vistasMicrosipConsolidado.sql,consolidado
FUNCTION,fnServiceDate,consolidado/20-vistasMicrosipConsolidado.sql,consolidado
FUNCTION,fnDateInfo,consolidado/20-vistasMicrosipConsolidado.sql,consolidado
VIEW,biClientes,consolidado/20-vistasMicrosipConsolidado.sql,consolidado
VIEW,biProveedores,consolidado/20-vistasMicrosipConsolidado.sql,consolidado
VIEW,biAlmacenes,consolidado/20-vistasMicrosipConsolidado.sql,consolidado
VIEW,biCxcVencimientoSub,consolidado/20-vistasMicrosipConsolidado.sql,consolidado
VIEW,biCxcVencimientoSub2,consolidado/20-vistasMicrosipConsolidado.sql,consolidado
VIEW,biCxcCreditoSaldo,consolidado/20-vistasMicrosipConsolidado.sql,consolidado
VIEW,biCxpVencimientoSub,consolidado/20-vistasMicrosipConsolidado.sql,consolidado
VIEW,biCxpVencimientoSub2,consolidado/20-vistasMicrosipConsolidado.sql,consolidado
VIEW,biCxpAnticipoSaldo,consolidado/20-vistasMicrosipConsolidado.sql,consolidado
VIEW,bimodulosgrupo1,consolidado/20-vistasMicrosipConsolidado.sql,consolidado
VIEW,bimodulosgrupo2,consolidado/20-vistasMicrosipConsolidado.sql,consolidado
VIEW,biContaDetalleSub,consolidado/20-vistasMicrosipConsolidado.sql,consolidado
VIEW,biContaDetalle,consolidado/20-vistasMicrosipConsolidado.sql,consolidado
VIEW,biContaAcumNivelAuxiliar,consolidado/20-vistasMicrosipConsolidado.sql,consolidado
VIEW,biContaAcumSDNivelAuxiliar,consolidado/20-vistasMicrosipConsolidado.sql,consolidado
VIEW,biContaAcumNiveles,consolidado/20-vistasMicrosipConsolidado.sql,consolidado
VIEW,biContaAcumCierre,consolidado/20-vistasMicrosipConsolidado.sql,consolidado
VIEW,biPresupuestoSub,consolidado/20-vistasMicrosipConsolidado.sql,consolidado
VIEW,biPresupuesto,consolidado/20-vistasMicrosipConsolidado.sql,consolidado
VIEW,biContaPresupuestoNiveles,consolidado/20-vistasMicrosipConsolidado.sql,consolidado
VIEW,biTesoreriaSaldo,consolidado/20-vistasMicrosipConsolidado.sql,consolidado
VIEW,biProyectoCxpConcepto,consolidado/20-vistasMicrosipConsolidado.sql,consolidado
VIEW,biArticulos,consolidado/20-vistasMicrosipConsolidado.sql,consolidado
VIEW,biArticulosAlmacen,consolidado/20-vistasMicrosipConsolidado.sql,consolidado
VIEW,biInvProveedor,consolidado/20-vistasMicrosipConsolidado.sql,consolidado
VIEW,biBibliaInv,consolidado/20-vistasMicrosipConsolidado.sql,consolidado
VIEW,biBibliaInvAlmacen,consolidado/20-vistasMicrosipConsolidado.sql,consolidado
VIEW,biBibliaInvFechas,consolidado/20-vistasMicrosipConsolidado.sql,consolidado
VIEW,biLogPost,consolidado/20-vistasMicrosipConsolidado.sql,consolidado
VIEW,biEqTableDifHist,consolidado/20-vistasMicrosipConsolidado.sql,consolidado
VIEW,vwVentasDetalle,consolidado/20-vistasMicrosipConsolidado.sql,consolidado
VIEW,vwMergePV_VEDetalle,consolidado/20-vistasMicrosipConsolidado.sql,consolidado
VIEW,bicortegrupo3,consolidado/20-vistasMicrosipConsolidado.sql,consolidado
VIEW,vwCxc,consolidado/20-vistasMicrosipConsolidado.sql,consolidado
VIEW,vwCxcAplica,consolidado/20-vistasMicrosipConsolidado.sql,consolidado
VIEW,vwCxp,consolidado/20-vistasMicrosipConsolidado.sql,consolidado
VIEW,vwCxpAplica,consolidado/20-vistasMicrosipConsolidado.sql,consolidado
